,name,price,url,little_cat,big_cat,start_timestamp,shop,price_old
0,"Мини-ролл с угрем «Много Лосося», 110г","279,00 ₽",/cat/720/p/mini-roll-s-ugrem-mnogo-lososa-110g-4131009,Ужин для двоих,Для любимых,1675639897,perekrestok,
1,"Ролл Снежная калифорния «Много Лосося», 190г","289,00 ₽",/cat/720/p/roll-sneznaa-kalifornia-mnogo-lososa-190g-4132488,Ужин для двоих,Для любимых,1675639897,perekrestok,
2,"Ролл Филадельфия «Много Лосося»,  215г","399,00 ₽",/cat/720/p/roll-filadelfia-mnogo-lososa-215g-4131025,Ужин для двоих,Для любимых,1675639897,perekrestok,
3,"Ролл Лосось Спайс «Много Лосося»,  210г","299,00 ₽",/cat/720/p/roll-losos-spajs-mnogo-lososa-210g-4131001,Ужин для двоих,Для любимых,1675639897,perekrestok,
4,"Мини-ролл с огурцом «Много Лосося», 110г","139,00 ₽",/cat/720/p/mini-roll-s-ogurcom-mnogo-lososa-110g-4130993,Ужин для двоих,Для любимых,1675639897,perekrestok,
5,"Гункан с сурими спайси «Много Лосося», 125г","199,00 ₽",/cat/720/p/gunkan-s-surimi-spajsi-mnogo-lososa-125g-4130994,Ужин для двоих,Для любимых,1675639897,perekrestok,
6,"Ролл Калифорния с лососем «Много Лосося», 200г","389,00 ₽",/cat/720/p/roll-kalifornia-s-lososem-mnogo-lososa-200g-4132481,Ужин для двоих,Для любимых,1675639897,perekrestok,
7,"Ролл Филадельфия Фреш «Много Лосося», 200г","299,00 ₽",/cat/720/p/roll-filadelfia-fres-mnogo-lososa-200g-4132490,Ужин для двоих,Для любимых,1675639897,perekrestok,
8,"Ролл Дракон «Много Лосося» , 190г","399,00 ₽",/cat/720/p/roll-drakon-mnogo-lososa-190g-4132491,Ужин для двоих,Для любимых,1675639897,perekrestok,
9,"Сет №1 «Много Лосося», 610г","849,00 ₽",/cat/720/p/set-no1-mnogo-lososa-610g-4131019,Ужин для двоих,Для любимых,1675639897,perekrestok,
10,"Сет на двоих «Много Лосося», 515г","949,00 ₽",/cat/720/p/set-na-dvoih-mnogo-lososa-515g-4174592,Ужин для двоих,Для любимых,1675639897,perekrestok,
11,"Соус соевый, 30г","25,00 ₽",/cat/720/p/sous-soevyj-30g-4130566,Ужин для двоих,Для любимых,1675639897,perekrestok,
12,"Имбирь маринованный белый, 20г","25,00 ₽",/cat/720/p/imbir-marinovannyj-belyj-20g-4130670,Ужин для двоих,Для любимых,1675639897,perekrestok,
13,"Япо Буррито с лососем «Много Лосося», 215г","299,00 ₽",/cat/720/p/apo-burrito-s-lososem-mnogo-lososa-215g-4221718,Ужин для двоих,Для любимых,1675639897,perekrestok,
14,"Япо Буррито Сурими, 200г","225,00 ₽",/cat/720/p/apo-burrito-surimi-200g-4221717,Ужин для двоих,Для любимых,1675639897,perekrestok,
15,"Япо Буррито с острым лососем «Много Лосося», 220г","319,00 ₽",/cat/720/p/apo-burrito-s-ostrym-lososem-mnogo-lososa-220g-4221721,Ужин для двоих,Для любимых,1675639897,perekrestok,
16,"Салат Нисуаз с тунцом  Шеф Перекрёсток, 170г","229,99 ₽",/cat/719/p/salat-nisuaz-s-tuncom-sef-perekrestok-170g-4254530,Ужин для двоих,Для любимых,1675639897,perekrestok,
17,"Салат Алекс Шеф Перекрёсток, 200г","179,99 ₽",/cat/719/p/salat-aleks-sef-perekrestok-200g-3680195,Ужин для двоих,Для любимых,1675639897,perekrestok,
18,"Салат Цезарь Шеф Перекрёсток, 220г","299,99 ₽",/cat/719/p/salat-cezar-sef-perekrestok-220g-4225649,Ужин для двоих,Для любимых,1675639897,perekrestok,
19,"Салат Коул слоу Шеф Перекрёсток, 200г","149,99 ₽",/cat/719/p/salat-koul-slou-sef-perekrestok-200g-4215379,Ужин для двоих,Для любимых,1675639897,perekrestok,
20,"Салат Фаворит Шеф Перекрёсток, 200г","189,99 ₽",/cat/719/p/salat-favorit-sef-perekrestok-200g-3681181,Ужин для двоих,Для любимых,1675639897,perekrestok,
21,"Салат по-скандинавски Шеф Перекрёсток, 170г","229,99 ₽",/cat/719/p/salat-po-skandinavski-sef-perekrestok-170g-4223585,Ужин для двоих,Для любимых,1675639897,perekrestok,
22,"Паста Шеф Перекрёсток Карбонара, 250г","199,99 ₽",/cat/719/p/pasta-sef-perekrestok-karbonara-250g-4128971,Ужин для двоих,Для любимых,1675639897,perekrestok,
23,"Паста Шеф Перекрёсток Болоньезе, 250г","199,99 ₽",/cat/719/p/pasta-sef-perekrestok-boloneze-250g-4120448,Ужин для двоих,Для любимых,1675639897,perekrestok,
24,"Паста с ветчиной и грибами Шеф Перекрёсток, 250г","199,99 ₽",/cat/719/p/pasta-s-vetcinoj-i-gribami-sef-perekrestok-250g-4123368,Ужин для двоих,Для любимых,1675639897,perekrestok,
25,"Плов с говядиной Шеф Перекрёсток, 250г","169,99 ₽",/cat/719/p/plov-s-govadinoj-sef-perekrestok-250g-4274949,Ужин для двоих,Для любимых,1675639897,perekrestok,"229,99 ₽"
26,"Мясо по-французски с картофелем Шеф Перекресток, 250г","199,99 ₽",/cat/719/p/maso-po-francuzski-s-kartofelem-sef-perekrestok-250g-4215382,Ужин для двоих,Для любимых,1675639897,perekrestok,
27,"Кальмар в сливочном соусе с рисом Шеф Перекрёсток, 230г","199,99 ₽",/cat/719/p/kalmar-v-slivocnom-souse-s-risom-sef-perekrestok-230g-4273863,Ужин для двоих,Для любимых,1675639897,perekrestok,"269,99 ₽"
28,"Филе сайды под маринадом с картофельным пюре Шеф Перекрёсток, 250г","199,99 ₽",/cat/719/p/file-sajdy-pod-marinadom-s-kartofelnym-pure-sef-perekrestok-250g-4274947,Ужин для двоих,Для любимых,1675639897,perekrestok,"269,99 ₽"
29,"Индейка в соусе бешамель с пастой орзо Шеф Перекрёсток, 250г","199,99 ₽",/cat/719/p/indejka-v-souse-besamel-s-pastoj-orzo-sef-perekrestok-250g-4275453,Ужин для двоих,Для любимых,1675639897,perekrestok,"269,99 ₽"
30,"Боллы из индейки с яичной лапшой и кисло-сладким соусом Шеф Перекрёсток, 280г","199,99 ₽",/cat/719/p/bolly-iz-indejki-s-aicnoj-lapsoj-i-kislo-sladkim-sousom-sef-perekrestok-280g-4275350,Ужин для двоих,Для любимых,1675639897,perekrestok,"269,99 ₽"
31,"Курица Шеф Перекрёсток терияки на рисе, 250г","299,99 ₽",/cat/719/p/kurica-sef-perekrestok-teriaki-na-rise-250g-3925485,Ужин для двоих,Для любимых,1675639897,perekrestok,
32,"Рисовая лапша с морепродуктами Шеф Перекрёсток, 240г","259,99 ₽",/cat/719/p/risovaa-lapsa-s-moreproduktami-sef-perekrestok-240g-4073548,Ужин для двоих,Для любимых,1675639897,perekrestok,
33,"Котлета куриная с грибным соусом Шеф Перекрёсток by Novikov, 300г","299,99 ₽",/cat/719/p/kotleta-kurinaa-s-gribnym-sousom-sef-perekrestok-by-novikov-300g-4052144,Ужин для двоих,Для любимых,1675639897,perekrestok,
34,"Паста Шеф Перекрёсток 4 сыра, 250г","259,99 ₽",/cat/719/p/pasta-sef-perekrestok-4-syra-250g-4156187,Ужин для двоих,Для любимых,1675639897,perekrestok,
35,"Паста с курицей в соусе Альфредо Шеф Перекрёсток, 250г","199,99 ₽",/cat/719/p/pasta-s-kuricej-v-souse-alfredo-sef-perekrestok-250g-4262799,Ужин для двоих,Для любимых,1675639897,perekrestok,
36,"Паста Шеф Перекрёсток с курицей и сыром в сливочном соусе, 170г","159,99 ₽",/cat/719/p/pasta-sef-perekrestok-s-kuricej-i-syrom-v-slivocnom-souse-170g-4137999,Ужин для двоих,Для любимых,1675639897,perekrestok,
37,"Паста с цыплёнком Шеф Перекрёсток by Novikov Пепе Верде в соусе, 260г","259,99 ₽",/cat/719/p/pasta-s-cyplenkom-sef-perekrestok-by-novikov-pepe-verde-v-souse-260g-4181549,Ужин для двоих,Для любимых,1675639897,perekrestok,
