,name,price,price_old,url,little_cat,big_cat,start_timestamp,shop
0,"Квас Русский дар Традиционный, 2л","89,99 ₽",,/cat/467/p/kvas-russkij-dar-tradicionnyj-2l-3273454,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
1,"Кефир Домик в деревне 3.2%, 900мл","89,99 ₽",,/cat/375/p/kefir-domik-v-derevne-3-2-900ml-3467795,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
2,"Квас Русский дар Традиционный, 500мл","49,99 ₽",,/cat/467/p/kvas-russkij-dar-tradicionnyj-500ml-3273456,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
3,Картофель ранний,"59,90 ₽",,/cat/366/p/kartofel-rannij-45505,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
4,Огурцы короткоплодные,"99,99 ₽","119,90 ₽",/cat/366/p/ogurcy-korotkoplodnye-4072,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
5,Картофель в сетке,"49,90 ₽",,/cat/366/p/kartofel-v-setke-3987,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
6,"Квас Лидский Хлебный, 1.5л","79,99 ₽","99,99 ₽",/cat/467/p/kvas-lidskij-hlebnyj-1-5l-3630214,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
7,"Кефир Простоквашино 3.2%, 930г","104,99 ₽",,/cat/375/p/kefir-prostokvasino-3-2-930g-97452,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
8,"Яйцо куриное Маркет Перекрёсток столовое С1, 10шт","79,99 ₽",,/cat/350/p/ajco-kurinoe-market-perekrestok-stolovoe-s1-10st-3662512,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
9,"Квас Очаковский двойного брожения, 2л","109,99 ₽",,/cat/467/p/kvas-ocakovskij-dvojnogo-brozenia-2l-2052438,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
10,"Яйцо куриное Маркет Перекрёсток пищевое столовое СО, 10шт","89,99 ₽",,/cat/350/p/ajco-kurinoe-market-perekrestok-pisevoe-stolovoe-so-10st-3634491,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
11,"Яйцо Окское столовое СО, 10шт","114,99 ₽",,/cat/374/p/ajco-okskoe-stolovoe-so-10st-3062835,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
12,"Лук зеленый упаковка, 100г","59,99 ₽","89,90 ₽",/cat/366/p/luk-zelenyj-upakovka-100g-3498598,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
13,"Редис красный, 500г","74,99 ₽","99,90 ₽",/cat/366/p/redis-krasnyj-500g-25180,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
14,Огурцы Луховицкие длинные,"39,90 ₽",,/cat/366/p/ogurcy-luhovickie-dlinnye-3673129,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
15,"Яйцо куриное Роскар Экстра СО, 10шт","119,99 ₽",,/cat/374/p/ajco-kurinoe-roskar-ekstra-so-10st-44323,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
16,"Яйцо куриное Окское столовое С1, 10шт","99,99 ₽",,/cat/374/p/ajco-kurinoe-okskoe-stolovoe-s1-10st-3062836,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
17,"Лук зеленый упаковка, 50г","49,90 ₽",,/cat/366/p/luk-zelenyj-upakovka-50g-3498606,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
18,"Биопродукт Bio Баланс кефирный 1%, 930г","89,99 ₽","109,99 ₽",/cat/375/p/bioprodukt-bio-balans-kefirnyj-1-930g-2085953,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
19,"Огурцы, 600г","59,90 ₽",,/cat/366/p/ogurcy-600g-2131726,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
20,"Яйцо Окское белое столовое С1, 30шт","279,99 ₽",,/cat/374/p/ajco-okskoe-beloe-stolovoe-s1-30st-3062838,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
21,"Яйцо куриное Лето С1, 20шт","209,99 ₽",,/cat/374/p/ajco-kurinoe-leto-s1-20st-3341462,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
22,Редис красный,"149,90 ₽",,/cat/366/p/redis-krasnyj-2083434,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
23,"Кефир Домик в деревне 1%, 900мл","84,99 ₽",,/cat/375/p/kefir-domik-v-derevne-1-900ml-3467794,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
24,"Редис Negev красный, 125г","69,90 ₽",,/cat/366/p/redis-negev-krasnyj-125g-48617,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
25,"Колбаса варёная Маркет Перекрёсток Докторская категория А, 500г","359,99 ₽",,/cat/350/p/kolbasa-varenaa-market-perekrestok-doktorskaa-kategoria-a-500g-4087579,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
26,"Огурцы колючие среднеплодные, 600г","69,90 ₽",,/cat/366/p/ogurcy-kolucie-sredneplodnye-600g-2088998,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
27,"Квас живой Царские Припасы Вкусный, 500мл","69,99 ₽",,/cat/467/p/kvas-zivoj-carskie-pripasy-vkusnyj-500ml-3349623,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
28,"Колбаса варёная Клинский Докторская категория А, 500г","389,99 ₽",,/cat/384/p/kolbasa-varenaa-klinskij-doktorskaa-kategoria-a-500g-3073604,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
29,"Колбаса варёная МД Бородина Докторская высший сорт, 500г","249,99 ₽","449,99 ₽",/cat/384/p/kolbasa-varenaa-md-borodina-doktorskaa-vyssij-sort-500g-3347584,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
30,"Колбаса варёная Велком Докторская кусок, 500г","379,99 ₽",,/cat/384/p/kolbasa-varenaa-velkom-doktorskaa-kusok-500g-3385812,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
31,"Квас Деревенский светлый фильтрованный пастеризованный, 1.5л","109,99 ₽",,/cat/467/p/kvas-derevenskij-svetlyj-filtrovannyj-pasterizovannyj-1-5l-4126059,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
32,Колбаса варёная МД Бородина Докторская,"919,99 ₽",,/cat/384/p/kolbasa-varenaa-md-borodina-doktorskaa-89612,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
33,Колбаса варёная Рублевский Докторская категория А,"599,99 ₽","999,90 ₽",/cat/384/p/kolbasa-varenaa-rublevskij-doktorskaa-kategoria-a-78001451,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
34,"Колбаса варёная Останкино Докторская высший сорт, 500г","319,99 ₽",,/cat/384/p/kolbasa-varenaa-ostankino-doktorskaa-vyssij-sort-500g-2133762,Для летних блюд,"Лето, солнце, жара",1657052141,perekrestok
